Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,State-Geo,City-Geo,Latitude,Longitude
63172,News Article,The Baltimore News-Post,Baltimore,Maryland,"Wednesday, November 25, 1942",1,"Hitler Already Has Killed 2 Million Jews, Says Dr. Wise",Declares He Has Proof Of Race-Extinction Order,AP,Nazi Plan to Kill All Jews Confirmed,Enoch Pratt Free Library,Published,Eric Schmalz,Article continues on page 2.,,https://newspapers.ushmm.org/article/63172,https://newspapers.ushmm.org/manager/article/photo/40788/original,Maryland,Baltimore,39.2903848,-76.6121893
63160,News Article,The Baltimore News-Post,Baltimore,Maryland,"Tuesday, November 24, 1942",1,Nazis Order Death For Half Of Poland's Jews,Himmler's 'Liquidation' Units Already Killing Victims,UP,Nazi Plan to Kill All Jews Confirmed,Enoch Pratt Free Library,Published,Eric Schmalz,Article continues on page 2.,"Hello Eric, I reviewed yesterday’s Sprint submissions including your two front page Baltimore News-Post articles (interesting to have these two front & center articles two days in a row). It’s great to fill up this new title in our Power User spreadsheet! It has been updated. Glad you could arrange that Sprint with Enoch Pratt Library, thank you! –Nadia",https://newspapers.ushmm.org/article/63160,https://newspapers.ushmm.org/manager/article/photo/40780/original,Maryland,Baltimore,39.2903848,-76.6121893
62439,News Article,Winchester Evening Star,Winchester,Virginia,"Tuesday, November 24, 1942",1,Mass Murdering of Polish Jews Is Charged To Nazis,,AP,Nazi Plan to Kill All Jews Confirmed,Library of Virginia,Published,Jessica Bennett,,This image is great. Thank you! -Eric,https://newspapers.ushmm.org/article/62439,https://newspapers.ushmm.org/manager/article/photo/40431/original,Virginia,Winchester,39.1856597,-78.1633341
62352,News Article,The Huntsville Times,Huntsville,Alabama,"Tuesday, November 24, 1942",1,Extermination Of Half Jews In Poland Begun,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Christopher Suda,Article is located on bottom right of page 1.,,https://newspapers.ushmm.org/article/62352,https://www.newspapers.com/clip/111099001/,Alabama,Huntsville,34.7303688,-86.5861037
62197,News Article,The Gettysburg Compiler,Gettysburg,Pennsylvania,"Saturday, April 28, 1945",1,Capt. Hanson Inspects Nazi 'Horror' Camp,,,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Samuel Smith,,"Hello Samuel, thank you for your contribution to History Unfolded! This is an excellent new addition to the collection. It’s actually from the Gettysburg Compiler, not the Gettysburg Times, and you’re the first user to find an article in this Pennsylvania newspaper! I embedded the Newspapers.com link for you so that future scholars and researchers can have a better access to the article online; this also allows to display a thumbnail preview of the article on the public end of the History Unfolded website. Quick note on your headline: make sure you enter it as you see it on the page, so here, with quotes around 'Horror'; it doesn't look like much, but it makes a difference from an editorial point of view and readership perception. Thank you!  –Nadia",https://newspapers.ushmm.org/article/62197,https://www.newspapers.com/clip/91802617/,Pennsylvania,Gettysburg,39.8309293,-77.2310955
61807,Editorial or Opinion Piece,St. Petersburg Times,St. Petersburg,Florida,"Friday, December 25, 1942",6,On The Record,Hitler And The Army -- IV,Dorothy Thompson,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,"Hi Pat,

Wonderful article finds! I was able to approved a total of 29 of your articles this weekend! Thank you for all these finds from the St. Petersburg Times!

I hope you have a good upcoming week!

- Samantha",https://newspapers.ushmm.org/article/61807,https://www.newspapers.com/clip/109082330/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999
61803,Other,St. Petersburg Times,St. Petersburg,Florida,"Monday, December 7, 1942",7,My Day,,Eleanor Roosevelt (For The Times),Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/61803,https://www.newspapers.com/clip/109080688/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999
61522,News Article,The Albuquerque Tribune,Albuquerque,New Mexico,"Thursday, December 10, 1942",1,Avers Jews Face Horror,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,,,https://newspapers.ushmm.org/article/61522,https://www.newspapers.com/clip/108493428/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422
61520,Editorial or Opinion Piece,The Albuquerque Tribune,Albuquerque,New Mexico,"Wednesday, December 9, 1942",2,Millions of Jews Doomed by Hitler,Delegation Report May Bring Roosevelt Warning to Hitler on Accountability for Crimes Against Them,William Philip Simms (Scripps-Howard Foreign Editor),Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,,,https://newspapers.ushmm.org/article/61520,https://www.newspapers.com/clip/108493245/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422
61519,News Article,The Albuquerque Tribune,Albuquerque,New Mexico,"Friday, December 11, 1942",9,Urge Stand on Pogroms,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,,,https://newspapers.ushmm.org/article/61519,https://www.newspapers.com/clip/108493004/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422
61454,News Article,The Albuquerque Tribune,Albuquerque,New Mexico,"Wednesday, November 25, 1942",1,Committee Gets Details of Nazi Campaign to Kill All Jews in German Grip,,Kenneth L. Dixon (AP),Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,,,https://newspapers.ushmm.org/article/61454,https://www.newspapers.com/clip/108432420/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422
61453,News Article,The Albuquerque Tribune,Albuquerque,New Mexico,"Tuesday, December 8, 1942",1,Slaughter of Jews is Told to President,Summary of the Nazi Mass Murders Presented by Committee,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,Additional sub-headlines: REAFFIRMS HIS CONCERN — Will Consider Investigation Asked by American Jewry,,https://newspapers.ushmm.org/article/61453,https://www.newspapers.com/clip/108432168/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422
60830,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Saturday, November 28, 1942",3,Nazis' Slaughter Of Jews Pictured,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60830,https://www.newspapers.com/clip/107168752/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276
60725,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Wednesday, December 9, 1942",3,President Shocked By Nazi Jewish Killings,,UP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60725,https://www.newspapers.com/clip/106719416/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276
60724,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Wednesday, November 25, 1942",11,Poles Report Mass Murder Of Their Jews,"Infants, Cripples Shot On Himmler's Orders, Officials Announce",New York Times,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60724,https://www.newspapers.com/clip/106719118/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276
60723,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Friday, December 25, 1942",26,"Jewish Extermination Set, Palestine Hears",,New York Times,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60723,https://www.newspapers.com/clip/106718482/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276
