Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,State-Geo,City-Geo,Latitude,Longitude,Type
62464,News Article,Winchester Evening Star,Winchester,Virginia,"Thursday, December 17, 1942",1,United Nations Determined to Deal with Thugs,Htiler's [sic] Policy of Extermination Roundly Denounced,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Library of Virginia,Published,Jessica Bennett,Hitler misspelled in the the sub-headline,"Hello Jessica, thank you for your contribution to our Sprint last week! This is an excellent new addition to the collection. Thank you for pointing out the typo in the sub-headline. Per our convention, I added “[sic]” after “Htiler”,  to show the error isn't ours but the paper’s. Interestingly, as you may have noticed, there’s another typo in one of the paragraph headers below, “Slaughter of Polls” instead of “Poles”.  
We hope you’ll get to contribute to History Unfolded again! –Nadia",https://newspapers.ushmm.org/article/62464,https://newspapers.ushmm.org/manager/article/photo/40434/original,Virginia,Winchester,39.1856597,-78.1633341,None
62315,News Article,The Tri-City Independent,Festus,Missouri,"Thursday, December 31, 1942",6,Highlights... in the Week's News,BESTIAL,WNU,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Kurtis Stutko,"War news dominates much of the page, with only a brief paragraph allocated to the denouncing of the Nazis. This shows quite clearly what most Americans cared about more at the time, and that the plight of the European Jews was not considered front page headline material.","Hello Kurtis, thank you for your contribution to History Unfolded! This is an excellent new addition to our “Allies Denounce” event module —although short and hidden away at the bottom of page 6 as you pointed out—, and from a newspaper we didn’t have in the collection yet. Good work, we look forward to your next finds! –Nadia",https://newspapers.ushmm.org/article/62315,https://www.newspapers.com/clip/110457131/,Missouri,Festus,38.2134305,-90.4056005,None
61832,News Article,The Selma-Times Journal,Selma,Alabama,"Sunday, December 27, 1942",4,THE CASE OF MURDER AGAINST THE NAZIS,,,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Christopher Suda,"I found this article quite interesting to be reported in the town of Selma, Alabama. It is disappointing of course that it is buried in the margins of page 4, but I suppose this happened a lot across the United States due to the year of its publication as news was just beginning to arrive.","Hello Christopher, this is a great new addition to the collection, thank you! It’s a bit tricky, but considering the date and the content, it’s a better fit for our “Allies Denounce” event, rather than “Nazi Plan to Kill All Jews Confirmed”, although I see why you selected that module. You can read a description here: https://newspapers.ushmm.org/events/allies-denounce-nazi-plan-to-exterminate-the-jews. 
You make a good point about the page where the piece is featured; I’d say page 4 is actually not that bad as this is the editorial page, so I think it means the paper actually picked these specific news to comment on. I changed your Article Type from News Article to Editorial/Opinion Piece, again due to the placement on this page, under the paper’s information, even though the tone is pretty neutral. I also removed “Daily wire / AP”, as I believe this applies to the paper in general rather than the editorials in particular. Let us know if you have questions, thank you for your good work!",https://newspapers.ushmm.org/article/61832,https://www.newspapers.com/clip/109418490/,Alabama,Selma,32.4073589,-87.02110069999999,None
61806,News Article,St. Petersburg Times,St. Petersburg,Florida,"Friday, December 18, 1942",1,Soviets Edge Deeper Into Nazi Lines,,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/61806,https://www.newspapers.com/clip/109081739/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999,None
61805,News Article,St. Petersburg Times,St. Petersburg,Florida,"Sunday, December 13, 1942",8,Russian Envoy Visits Welles,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/61805,https://www.newspapers.com/clip/109081207/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999,None
61804,News Article,St. Petersburg Times,St. Petersburg,Florida,"Sunday, December 13, 1942",C8,Russian Envoy Visits Welles,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/61804,https://www.newspapers.com/clip/109081059/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999,None
61550,News Article,St. Petersburg Times,St. Petersburg,Florida,"Saturday, December 12, 1942",1,Hitler Tightens Grip On His Army to Check Revolt Against Nazis,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/61550,https://www.newspapers.com/clip/108579250/tampa-bay-times/,Florida,St.+Petersburg,27.7676008,-82.64029149999999,None
61455,News Article,The Albuquerque Tribune,Albuquerque,New Mexico,"Thursday, December 17, 1942",4,United Nations to Avenge Jews,Condemn Nazi Treatment as 'Bestial Policy' in Statement,UP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Joyce Rangen,"Additional sub-headlines: READ BEFORE COMMONS — Move Supplements Pledge of Punishment Made by FDR, Churchill","Hello Joyce, thank you for your latest Albuquerque Tribune articles! Regarding this article, considering the date and the content (“bestial policy”), this is a better fit for the Allies Denounce module (rather than ""Nazi Plan to Kill All Jews""), and a gold-standard for our spreadsheet. –Nadia",https://newspapers.ushmm.org/article/61455,https://www.newspapers.com/clip/108432657/the-albuquerque-tribune/,New+Mexico,Albuquerque,35.0843859,-106.650422,None
60832,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Thursday, December 17, 1942",7,Senator Asks Reprisals,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/60832,https://www.newspapers.com/clip/107178345/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276,None
60831,News Article,The Daily Oklahoman,Oklahoma City,Oklahoma,"Saturday, December 26, 1942",3,C.I.O. Chief Raps Jewish Massacres,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,This isn't a nation denouncing what Germany is doing to the Jews; this is the head of an American organization.,,https://newspapers.ushmm.org/article/60831,https://www.newspapers.com/clip/107177991/the-daily-oklahoman/,Oklahoma,Oklahoma+City,35.4675602,-97.5164276,None
60218,News Article,Borger Daily Herald,Borger,Texas,"Thursday, December 17, 1942",1,America Joins In Condemning 'Bestile Policy',,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,The Portal to Texas History (https://texashistory.unt.edu/),Published,A. Throckmorton,https://texashistory.unt.edu/ark:/67531/metapth738115/m1/1/?q=Borger%20Daily%20Herald%20December%201942,,https://newspapers.ushmm.org/article/60218,https://newspapers.ushmm.org/manager/article/photo/39515/original,Texas,Borger,35.6678203,-101.3973876,None
60165,News Article,The Glens Falls Times,Glens Falls,New York,"Friday, December 18, 1942",8,Extermination of Jews By German Government Is Condemned by Allies,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,New York State Historic Newspapers (http://nyshistoricnewspapers.org/),Published,Farmingdale Local History,Link to article: https://nyshistoricnewspapers.org/lccn/sn84031319/1942-12-18/ed-1/seq-8/,"Hello, thank you for your contribution to our Sprint yesterday! This is an excellent new addition to the collection. Just one quick edit to your data: it’s hard to decipher, but the letters in parenthesis at the beginning of the article read “(AP)”. AP stands for news wire service Associated Press and is our byline (I added it to your Byline field). Thank you, we hope you’ll get to contribute again! –Nadia",https://newspapers.ushmm.org/article/60165,https://newspapers.ushmm.org/manager/article/photo/39494/original,New+York,Glens+Falls,43.3095164,-73.6440058,None
59963,News Article,The Evening Capital,Annapolis,Maryland,"Thursday, December 17, 1942",1,Late News,"Commons Protest Nazi ""Barbarism""",AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Library of Virginia: Find Newspaper Archive Database,Published,Mary Fields,"https://access-newspaperarchive-com.ezproxy.virginiamemory.com/us/maryland/annapolis/annapolis-capital/1942/12-17/

This is the second of two very short articles on this event.  Far left column.",,https://newspapers.ushmm.org/article/59963,https://newspapers.ushmm.org/manager/article/photo/39375/original,Maryland,Annapolis,38.9784453,-76.4921829,None
59962,News Article,The Evening Capital,Annapolis,Maryland,"Thursday, December 17, 1942",1,Late News,"U.S. Condemns ""Bestial Policy""",AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Library of Virginia: Find Newspaper Archive Database,Published,Mary Fields,https://access-newspaperarchive-com.ezproxy.virginiamemory.com/us/maryland/annapolis/annapolis-capital/1942/12-17/,,https://newspapers.ushmm.org/article/59962,https://newspapers.ushmm.org/manager/article/photo/39374/original,Maryland,Annapolis,38.9784453,-76.4921829,None
53102,News Article,The Austin American,Austin,Texas,"Friday, December 18, 1942",10,Inhuman Acts Against Jews to be Punished,Hull Emphasizes Allies Bound in Retribution Move,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Judith Haran,(it is not clear if this article is from the AP or not  due to legibility issues),,https://newspapers.ushmm.org/article/53102,https://www.newspapers.com/clip/90342184/the-austin-american/,Texas,Austin,30.267153,-97.7430608,None
51842,News Article,"The Morning Herald (Hagerstown, Maryland)",Hagerstown,Maryland,"Friday, December 18, 1942",20,German Policy is Condemned,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Judith Haran,,,https://newspapers.ushmm.org/article/51842,https://www.newspapers.com/clip/88230448/the-morning-herald/,Maryland,Hagerstown,39.6417629,-77.71999319999999,None
50134,News Article,The Daily Times (Ohio),New Philadelphia,Ohio,"Thursday, December 17, 1942",1,Will Avenge Nazi Crimes,,William Theis (INS Staff Correspondent),Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Casey Troost,,,https://newspapers.ushmm.org/article/50134,https://newscomwc.newspapers.com/clip/86020441/the-daily-times/,Ohio,New+Philadelphia,40.4897871,-81.4456706,None
49848,News Article,The Montgomery Advertiser,Montgomery,Alabama,"Monday, December 28, 1942",7,German-American Block Scores Hitler,,AP,Allies Denounce Nazi Plan to “Exterminate” the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,"Although this article is not about the allies denouncing the Jewish extermination, it is about denouncing the actions by an important group - the German-American community.",,https://newspapers.ushmm.org/article/49848,https://www.newspapers.com/clip/85368766/the-montgomery-advertiser/,Alabama,Montgomery,32.3792233,-86.3077368,None
